Siglas	Votos	Diputados	Candidatura
censo	349547	4	
participacion	207084		
abstencion	142463		
nulos	2445		
blancos	3732		
PP	86446	2	PARTIDO POPULAR
PSOE	48772	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	15441	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-En	39122	1	EN MAREA
PACMA	1633	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPYD	971	0	UNIÓN PROGRESO Y DEMOCRACIA
NÓS	7253	0	NÓS-CANDIDATURA GALEGA (BNG-CG-FOGA-PCPG-PG)
RECORTES CE	443	0	RECORTES CERO-GRUPO VERDE
PCPE	421	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PT	405	0	PARTIDO DA TERRA
