Siglas	Votos	Diputados	Candidatura
censo	257797	4	
participacion	179186		
abstencion	78611		
nulos	1075		
blancos	1820		
PSOE	39722	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	24385	0	PARTIDO POPULAR
Cs	7082	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	31469	1	UNIDAS PODEMOS
VOX	5608	0	VOX
EAJ-PNV	40300	1	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
EH Bildu	24747	1	EUSKAL HERRIA BILDU
PACMA	1869	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	536	0	RECORTES CERO-GRUPO VERDE
PUM+J	338	0	POR UN MUNDO MÁS JUSTO
PCTE	235	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
