Siglas	Votos	Diputados	Candidatura
censo	183109	4	
participacion	149834		
abstencion	33275		
nulos	3583		
blancos	834		
PSOE	51674	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	27974	1	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
PCE	1573	0	PARTIDO COMUNISTA DE ESPAÑA
CDS	5604	0	CENTRO DEMOCRATICO Y SOCIAL
EAJ-PNV	32103	1	PARTIDO NACIONALISTA VASCO-EUZKO ALDERDI JELTZALEA
HB	14540	0	AGRUPACION ELECTORES HERRI BATASUNA
FN	314	0	ASOCIACION POLITICA FUERZA NUEVA
PST	854	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
EE	10180	0	EUSKADIKO EZKERRA - IZQUIERDA PARA EL SOCIALISMO
SE	132	0	SOLIDARIDAD ESPAÑOLA
UCE	191	0	UNIFICACION COMUNISTA DE ESPAÑA
PCE (M-L)	138	0	PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)
CUC	140	0	CANDIDATURA DE UNIDAD COMUNISTA
