Siglas	Votos	Diputados	Candidatura
censo	116321	91391	
participacion	533		
abstencion	115788		
nulos	92540		
blancos	134		
PSOE	29204	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	32785	1	COALICION POPULAR
CDS	21170	1	CENTRO DEMOCRATICO Y SOCIAL
IU	2218	0	COALICION IZQUIERDA UNIDA
MUC	736	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
PRD	1126	0	PARTIDO REFORMISTA DEMOCRATICO
PST	542	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PCC	179	0	PARTIT DELS COMUNISTES DE CATALUNYA
FE-JONS	188	0	FALANGE ESPAÑOLA DE LAS JONS
UCE	266	0	UNIFICACION COMUNISTA DE ESPAÑA
UPR	155	0	UNIDAD  POPULAR REPUBLICANA
POSI	186	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
PAEC	254	0	PARTIDO ESPAÑOL CRISTIANO
