Siglas	Votos	Diputados	Candidatura
censo	905041	7	
participacion	584796		
abstencion	320245		
nulos	5257		
blancos	8609		
PSOE	185785	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	144290	2	PARTIDO POPULAR
Cs	63867	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
VOX	27426	0	VOX
PODEMOS-EU-MAREAS EN COMÚN-EQUO	100547	1	EN COMÚN-UNIDAS PODEMOS
PACMA	6859	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
BNG	32132	0	BLOQUE NACIONALISTA GALEGO
RECORTES CERO-GV	1007	0	RECORTES CERO-GRUPO VERDE
EN MAREA	6705	0	EN MAREA
PCTE	601	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
EB	886	0	ESCAÑOS EN BLANCO
CxG	825	0	COMPROMISO POR GALICIA
