Siglas	Votos	Diputados	Candidatura
censo	368517	287345	
participacion	1892		
abstencion	366625		
nulos	288917		
blancos	514		
PSOE	130951	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	100685	2	COALICION POPULAR
CDS	30763	0	CENTRO DEMOCRATICO Y SOCIAL
IU	13400	0	COALICION IZQUIERDA UNIDA
MUC	1625	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
PRD	2057	0	PARTIDO REFORMISTA DEMOCRATICO
PST	777	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
FE-JONS	1228	0	FALANGE ESPAÑOLA DE LAS JONS
UCE	558	0	UNIFICACION COMUNISTA DE ESPAÑA
UPR	416	0	UNIDAD  POPULAR REPUBLICANA
POSI	223	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
