Siglas	Votos	Diputados	Candidatura
censo	645288	274278	
participacion	448602		
abstencion	196686		
nulos	6962		
blancos	169976		
PP	169976	2	PARTIDO POPULAR
PSOE	144080	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
VOX	62526	1	VOX
SUMAR	61594	1	SUMAR
PACMA	2699	0	PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE
FO	701	0	FRENTE OBRERO
RECORTES CERO	392	0	RECORTES CERO
PUM+J	598	0	POR UN MUNDO MÁS JUSTO
PCTE	746	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
ESCAÑOS EN BLANCO	942	0	ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS
