Siglas	Votos	Diputados	Candidatura
censo	489307	612496	
participacion	10602		
abstencion	478705		
nulos	704		
blancos	311352		
PP	49617	1	PARTIDO POPULAR
PSOE	65674	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU-LV	16777	0	IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL
UPyD	1798	0	UNIÓN PROGRESO Y DEMOCRACIA
CiU	120156	3	CONVERGÈNCIA I UNIÓ
ESQUERRA	33000	1	ESQUERRA REPUBLICANA
PACMA	2163	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Eb	5206	0	ESCAÑOS EN BLANCO
PxC	2636	0	PLATAFORMA PER CATALUNYA
P.C.P.E.	480	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
ANTICAPITALISTAS	1099	0	ANTICAPITALISTAS
PIRATA.CAT	1865	0	PIRATES DE CATALUNYA
UCE	205	0	UNIFICACIÓN COMUNISTA DE ESPAÑA
