Siglas	Votos	Diputados	Candidatura
censo	399019	5	
participacion	255329		
abstencion	143690		
nulos	3345		
blancos	4648		
PSOE	91656	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	49452	1	PARTIDO POPULAR
VOX	52485	1	VOX
PODEMOS-IU	30389	0	UNIDAS PODEMOS
Cs	18382	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	2535	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	495	0	RECORTES CERO-GRUPO VERDE
PUM+J	351	0	POR UN MUNDO MÁS JUSTO
AxSÍ	856	0	ANDALUCÍA POR SÍ
PCPE	159	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PCTE	112	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PCOE	464	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
