Siglas	Votos	Diputados	Candidatura
censo	568890	411383	
participacion	2822		
abstencion	566068		
nulos	414861		
blancos	833		
PSOE	140145	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	191461	4	PARTIDO POPULAR
IU	24574	0	IZQUIERDA UNIDA
CDS	7648	0	CENTRO DEMOCRATICO Y SOCIAL
ERC	2848	0	ESQUERRA REPUBLICANA DE CATALUNYA
VERDES	8971	0	LOS VERDES
ARM-ADE	1268	0	AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA
PSM-ENE	20118	0	PSM-ENE NACIONALISTES DE LES ILLES BALEARS
PLN	550	0	PARTIDO DE LA LEY NATURAL
UMMP	10053	0	UNIO MALLORQUINA, MENORQUINA I PITIUSA
POR	369	0	PARTIDO OBRERO REVOLUCIONARIO
NPS	357	0	COALICION POR UN NUEVO PARTIDO SOCIALISTA
ABE	416	0	ALTERNATIVA BALEAR ESPAÑOLA
PRB	282	0	PARTIDO RADICAL BALEAR
