Siglas	Votos	Diputados	Candidatura
censo	914587	691646	
participacion	67643		
abstencion	846944		
nulos	700268		
blancos	25101		
P.S.O.E.	326477	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
P.P.	289305	4	PARTIDO POPULAR
I.U.	49936	0	IZQUIERDA UNIDA
UPyD	9485	0	UNION PROGRESO Y DEMOCRACIA
C's	575	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
PACMA	1193	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
LV-GV	1906	0	LOS VERDES-GRUPO VERDE
PUM+J	446	0	POR UN MUNDO MAS JUSTO
P.S.D.	778	0	PARTIDO SOCIAL DEMOCRATA
P.C.P.E.	946	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
CENB	617	0	CIUDADANOS EN BLANCO
FE de las JONS	237	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
D.N.	549	0	DEMOCRACIA NACIONAL
PFyV	159	0	FAMILIA Y VIDA
PH	151	0	PARTIDO HUMANISTA
P.O.S.I.	262	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
AES	98	0	ALTERNATIVA ESPAÑOLA
F.A.	90	0	FALANGE AUTENTICA
SAIn	250	0	SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA
AMD	369	0	ALTERNATIVA MOTOR Y DEPORTES
IR	529	0	IZQUIERDA REPUBLICANA
A.u.N.	67	0	ALIANZA NACIONAL
P.C.	57	0	PARTIDO CARLISTA
FRENTE	75	0	FRENTE ESPAÑOL
AA	1299	0	ANDECHA ASTUR
UNIDA	848	0	UNIDA
PUEDE	117	0	PARTIDO UNIONISTA ESTADO DE ESPAÑA
CDAS	216	0	CONVERGENCIA DEMOCRATICA ASTURIANA
M.F.E.	68	0	MOVIMIENTO FALANGISTA DE ESPAÑA
