Siglas	Votos	Diputados	Candidatura
censo	109984	3	
participacion	78784		
abstencion	31200		
nulos	883		
blancos	1082		
PP	28282	2	PARTIDO POPULAR
PSOE	19938	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	11427	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS	11895	0	PODEMOS
IU-UPeC	3897	0	UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN
PACMA	375	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPYD	456	0	UNIÓN PROGRESO Y DEMOCRACIA
RECORTES CE	139	0	RECORTES CERO-GRUPO VERDE
PCPE	97	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
EB	313	0	ESCAÑOS EN BLANCO
