Siglas	Votos	Diputados	Candidatura
censo	525127	396804	
participacion	8973		
abstencion	516154		
nulos	401608		
blancos	1621		
PP	187273	3	PARTIDO POPULAR
PSOE-PROGR.	178396	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS
IU	21402	0	IZQUIERDA UNIDA
VERDES	1874	0	LOS VERDES
UC-CDS	308	0	UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL
PH	198	0	PARTIDO HUMANISTA
PLN	157	0	PARTIDO DE LA LEY NATURAL
FE	238	0	LA FALANGE
ES2000	110	0	PLATAFORMA ESPAÑA 2000
PADE	86	0	PARTIDO DEMOCRATA ESPAÑOL
FEI-FE 2000	137	0	FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE 2000
EU	1723	0	EXTREMADURA UNIDA
PREX-CREX	723	0	COALICION EXTREMEÑA
SIEX	994	0	SOCIALISTAS INDEPENDIENTES DE EXTREMADURA
