Siglas	Votos	Diputados	Candidatura
censo	314425	4	
participacion	208731		
abstencion	105694		
nulos	1540		
blancos	1375		
PSOE	29983	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	14697	0	PARTIDO POPULAR
VOX	9312	0	VOX
ERC-SOBIRANISTES	65236	2	ESQUERRA REPUBLICANA DE CATALUNYA-SOBIRANISTES
Cs	7128	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
JxCAT-JUNTS	46773	1	JUNTS PER CATALUNYA-JUNTS
ECP-GUANYEM EL CANVI	16337	0	EN COMÚ PODEM-GUANYEM EL CANVI
CUP-PR	14098	0	CANDIDATURA D'UNITAT POPULAR-PER LA RUPTURA
PACMA	1521	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	183	0	RECORTES CERO-GRUPO VERDE
PUM+J	169	0	POR UN MUNDO MÁS JUSTO
PCPE	129	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PCTE	126	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
IZQP	124	0	IZQUIERDA EN POSITIVO
