Siglas	Votos	Diputados	Candidatura
censo	1087839	8	
participacion	620550		
abstencion	467289		
nulos	7307		
blancos	7056		
PSOE	184178	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	187127	3	PARTIDO POPULAR
VOX	50325	0	VOX
Cs	28469	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
MÁS PAÍS-EQUO	12619	0	MÁS PAÍS-EQUO
PODEMOS-EU	77069	1	EN COMÚN-UNIDAS PODEMOS
BNG	58135	1	BLOQUE NACIONALISTA GALEGO
PACMA	4572	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	925	0	RECORTES CERO-GRUPO VERDE
PUM+J	607	0	POR UN MUNDO MÁS JUSTO
PCTE	472	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PCOE	1689	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
