Siglas	Votos	Diputados	Candidatura
censo	406520	316547	
participacion	4561		
abstencion	401959		
nulos	319958		
blancos	1374		
P.S.O.E.	140304	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
P.P.	155549	3	PARTIDO POPULAR
I.U.	6635	0	IZQUIERDA UNIDA
UPyD	1790	0	UNION PROGRESO Y DEMOCRACIA
ESQUERRA	1082	0	ESQUERRA REPUBLICANA DE CATALUNYA
C's	294	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
PACMA	544	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
LV-GV	553	0	LOS VERDES-GRUPO VERDE
BLOC-IDPV-EV-EE	3223	0	BLOC-INICIATIVA-VERDS
PUM+J	229	0	POR UN MUNDO MAS JUSTO
P.S.D.	426	0	PARTIDO SOCIAL DEMOCRATA
P.C.P.E.	203	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE de las JONS	196	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
D.N.	209	0	DEMOCRACIA NACIONAL
PFyV	124	0	FAMILIA Y VIDA
PH	78	0	PARTIDO HUMANISTA
EV-LV	750	0	ELS VERDS-LOS VERDES
P.O.S.I.	93	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
AES	72	0	ALTERNATIVA ESPAÑOLA
E-2000	1054	0	ESPAÑA 2000
CVa	213	0	COALICIO VALENCIANA
F.A.	72	0	FALANGE AUTENTICA
A.u.N.	60	0	ALIANZA NACIONAL
O.N.V.	183	0	OPCIO NACIONALISTA VALENCIANA
plRV	76	0	PER LA REPUBLICA VALENCIANA
Centristas PCTR	36	0	PARTIDO CENTRISTAS
IRV	62	0	IDENTITAT REGNE DE VALENCIA
C.T.C.	70	0	COMUNION TRADICIONALISTA CARLISTA
