Siglas	Votos	Diputados	Candidatura
censo	167030	4	
participacion	140429		
abstencion	26601		
nulos	2770		
blancos	356		
UCD	56917	2	UNION DE CENTRO DEMOCRATICO
PSOE	36186	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PCE	3846	0	PARTIDO COMUNISTA DE ESPAÑA
AP	19925	1	FEDERACION DE PARTIDOS DE ALIANZA POPULAR
PSP-US	3188	0	PARTIDO SOCIALISTA POPULAR - UNIDAD SOCIALISTA
FDC-EDC	3593	0	COALICION ELECT. EQUIPO DE LA DEMOCRACIA CRISTIANA
FDI	1006	0	FRENTE DEMOCRATICO DE IZQUIERDAS
ASDCI	1936	0	ALIANZA SOCIALISTA DEMOCRATICA
AET	1986	0	AGRUPACION ELECTORAL DE TRABAJADORES
FJONSA	639	0	FALANGE ESPAÑOLA DE LAS JONS AUTENTICA
INDEP	5682	0	CANDIDATURA RIOJANA INDEPENDIENTE
INDEP	2399	0	AGRUPACION RIOJANA INDEPENDIENTE
