Siglas	Votos	Diputados	Candidatura
censo	300243	4	
participacion	209246		
abstencion	90997		
nulos	1812		
blancos	2265		
PP	88785	2	PARTIDO POPULAR
PSOE	45724	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PODEMOS-IU-EQUO	35705	1	UNIDOS PODEMOS
C's	30361	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	1782	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GRUPO VERDE	456	0	RECORTES CERO-GRUPO VERDE
UPyD	788	0	UNIÓN PROGRESO Y DEMOCRACIA
VOX	647	0	VOX
PCPE	287	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
SAIn	278	0	SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA
IMC	356	0	INICIATIVA MERINDADES DE CASTILLA
