Siglas	Votos	Diputados	Candidatura
censo	422917	172058	
participacion	275240		
abstencion	147677		
nulos	2486		
blancos	101605		
PP	101605	2	PARTIDO POPULAR
PSOE	92578	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
VOX	35451	0	VOX
SUMAR	18577	0	SUMAR
PACMA	895	0	PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE
FO	541	0	FRENTE OBRERO
RECORTES CERO	72	0	RECORTES CERO
PUM+J	155	0	POR UN MUNDO MÁS JUSTO
U.P.L.	22675	0	UNIÓN DEL PUEBLO LEONÉS
PCTE	319	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
ESPAÑA VACIADA	486	0	ESPAÑA VACIADA
PREPAL	309	0	PARTIDO REGIONALISTA DEL PAÍS LEONÉS
