Siglas	Votos	Diputados	Candidatura
censo	5088093	37	
participacion	3591464		
abstencion	1496629		
nulos	28783		
blancos	28317		
PSOE	957401	10	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	887474	10	PARTIDO POPULAR
VOX	653476	7	VOX
PODEMOS-IU	463629	5	UNIDAS PODEMOS
Cs	323076	3	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
MÁS PAÍS-EQUO	201389	2	MÁS PAÍS-EQUO
PACMA	31983	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	5129	0	RECORTES CERO-GRUPO VERDE
PUM+J	4305	0	POR UN MUNDO MÁS JUSTO
PCPE	2099	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PCTE	1895	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PH	2508	0	PARTIDO HUMANISTA
