Siglas	Votos	Diputados	Candidatura
censo	1000037	9	
participacion	675912		
abstencion	324125		
nulos	8206		
blancos	8350		
PSOE	210131	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	99394	1	PARTIDO POPULAR
Cs	131567	2	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	110807	2	UNIDAS PODEMOS
VOX	87438	1	VOX
PACMA	11079	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	1620	0	RECORTES CERO-GRUPO VERDE
AxSI	4284	0	ANDALUCÍA POR SÍ
PCOE	2224	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
PCPA	812	0	PARTIDO COMUNISTA DEL PUEBLO ANDALUZ
