Siglas	Votos	Diputados	Candidatura
censo	653342	461052	
participacion	3500		
abstencion	649842		
nulos	464660		
blancos	924		
PSOE	198260	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	114389	2	COALICION POPULAR
CDS	49425	1	CENTRO DEMOCRATICO Y SOCIAL
IU	17147	0	COALICION IZQUIERDA UNIDA
MUC	6726	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
PRD	4500	0	PARTIDO REFORMISTA DEMOCRATICO
PST	2052	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PAR	52813	1	PARTIDO ARAGONES REGIONALISTA
FE-JONS	1023	0	FALANGE ESPAÑOLA DE LAS JONS
UCE	1021	0	UNIFICACION COMUNISTA DE ESPAÑA
VERDE	2570	0	VERTICE ESPAÑOL REIVINDICACION DESARROLL ECOLOGICO
UPR	623	0	UNIDAD  POPULAR REPUBLICANA
POSI	636	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
