Siglas	Votos	Diputados	Candidatura
censo	3529851	2604625	
participacion	28077		
abstencion	3501774		
nulos	2629406		
blancos	6301		
PSOE	1054730	15	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	826206	11	COALICION POPULAR
CDS	360246	5	CENTRO DEMOCRATICO Y SOCIAL
IU	155932	2	COALICION IZQUIERDA UNIDA
MUC	63928	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
PRD	36709	0	PARTIDO REFORMISTA DEMOCRATICO
PST	11282	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PCC	296	0	PARTIT DELS COMUNISTES DE CATALUNYA
FE-JONS	7761	0	FALANGE ESPAÑOLA DE LAS JONS
UCE	2737	0	UNIFICACION COMUNISTA DE ESPAÑA
LV	18559	0	LOS VERDES
AV	3478	0	LISTA ALTERNATIVA VERDE
VERDE	7261	0	VERTICE ESPAÑOL REIVINDICACION DESARROLL ECOLOGICO
UPR	2191	0	UNIDAD  POPULAR REPUBLICANA
POSI	1422	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
CUN	3080	0	COALICION DE UNIDAD NACIONAL
PORE	2044	0	PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA
CN	1886	0	CULTURA NATURAL
