Siglas	Votos	Diputados	Candidatura
censo	258495	4	
participacion	172199		
abstencion	86296		
nulos	911		
blancos	1344		
PSOE	37488	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	25506	0	PARTIDO POPULAR
VOX	6421	0	VOX
PODEMOS-IU	28186	1	UNIDAS PODEMOS
Cs	2526	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
EAJ-PNV	40262	1	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
EH Bildu	27453	1	EUSKAL HERRIA BILDU
PACMA	1152	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	409	0	RECORTES CERO-GRUPO VERDE
PUM+J	326	0	POR UN MUNDO MÁS JUSTO
PCTE	215	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
