Siglas	Votos	Diputados	Candidatura
censo	76861	2	
participacion	52892		
abstencion	23969		
nulos	642		
blancos	815		
PSOE	16513	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	13887	1	PARTIDO POPULAR
Cs	8501	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	4481	0	UNIDAS PODEMOS
VOX	4866	0	VOX
PACMA	263	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	103	0	RECORTES CERO-GRUPO VERDE
PUM+J	77	0	POR UN MUNDO MÁS JUSTO
PCTE	81	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PPSO	2663	0	PLATAFORMA DEL PUEBLO SORIANO
