Siglas	Votos	Diputados	Candidatura
censo	940965	665635	
participacion	6806		
abstencion	934159		
nulos	673686		
blancos	2355		
PSOE	166172	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	102172	2	PARTIDO POPULAR
IU	47091	0	IZQUIERDA UNIDA
CDS	5285	0	CENTRO DEMOCRATICO Y SOCIAL
EAJ-PNV	197392	3	EUSKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
HB	83644	1	HERRI BATASUNA
VERDES	6769	0	LOS VERDES
EA-EUE	42175	0	COALICION EUSKO ALKARTASUNA-EUSKAL EZKERRA
LE	3215	0	LOS ECOLOGISTAS
ARM-ADE	1359	0	AGRUPACION RUIZ-MATEOS-ALIANZA DEMOCR. EUROPEA
PST	3053	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PLN	387	0	PARTIDO DE LA LEY NATURAL
PH	353	0	PARTIDO HUMANISTA
POR	405	0	PARTIDO OBRERO REVOLUCIONARIO
NPS	251	0	COALICION POR UN NUEVO PARTIDO SOCIALISTA
PITRCG	408	0	PART. POLITICO INDEPENDIENTE TOLERANTE REFERENDATA
