Siglas	Votos	Diputados	Candidatura
censo	165345	130081	
participacion	2176		
abstencion	163169		
nulos	131748		
blancos	484		
PP	69688	2	PARTIDO POPULAR
PSOE-PROGR.	53762	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS
IU	3823	0	IZQUIERDA UNIDA
UC-CDS	303	0	UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL
LV-GV	605	0	LOS VERDES-GRUPO VERDE
TC-PNC	292	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
PLN	64	0	PARTIDO DE LA LEY NATURAL
FE	114	0	LA FALANGE
ES2000	33	0	PLATAFORMA ESPAÑA 2000
PADE	67	0	PARTIDO DEMOCRATA ESPAÑOL
AR	61	0	ACCION REPUBLICANA
EL-PAPI	100	0	PARTIDO DE AUTONOMOS, PENSIONISTAS E INDEPENDIENT.
PC	39	0	PARTIDO CARLISTA
