Siglas	Votos	Diputados	Candidatura
censo	1031733	10	
participacion	733997		
abstencion	297736		
nulos	4511		
blancos	6382		
PP	293943	5	PARTIDO POPULAR
PSOE	147883	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	128570	2	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS	110601	1	PODEMOS
IU-UPeC	22767	0	UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN
PACMA	6591	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPYD	5442	0	UNIÓN PROGRESO Y DEMOCRACIA
VOX	3282	0	VOX
RECORTES CE	1268	0	RECORTES CERO-GRUPO VERDE
PCPE	1051	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
EB	1063	0	ESCAÑOS EN BLANCO
SAIn	330	0	SOLIDARIDAD Y AUTOGESTIÓN INTERNACIONALISTA
+MAS+	313	0	MUERTE AL SISTEMA
