Siglas	Votos	Diputados	Candidatura
censo	124457	93414	
participacion	2027		
abstencion	122430		
nulos	95634		
blancos	475		
PP	54367	2	PARTIDO POPULAR
PSOE-PROGR.	29178	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS
IU	4898	0	IZQUIERDA UNIDA
UC-CDS	1407	0	UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL
LV-GV	1143	0	LOS VERDES-GRUPO VERDE
PH	75	0	PARTIDO HUMANISTA
TC-PNC	613	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
PLN	87	0	PARTIDO DE LA LEY NATURAL
FE	128	0	LA FALANGE
ES2000	55	0	PLATAFORMA ESPAÑA 2000
PADE	145	0	PARTIDO DEMOCRATA ESPAÑOL
URCL	236	0	UNIDAD REGIONALISTA DE CASTILLA Y LEON
PC	29	0	PARTIDO CARLISTA
