Siglas	Votos	Diputados	Candidatura
censo	853981	10	
participacion	662710		
abstencion	191271		
nulos	11332		
blancos	2799		
PSOE	339575	6	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	181965	3	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
UCD	31763	0	UNION DE CENTRO DEMOCRATICO
PCE	53017	1	PARTIDO COMUNISTA DE ESPAÑA
CDS	28048	0	CENTRO DEMOCRATICO Y SOCIAL
FN	2056	0	ASOCIACION POLITICA FUERZA NUEVA
PST	3570	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
SE	897	0	SOLIDARIDAD ESPAÑOLA
PCOE	1713	0	PARTIDO COMUNISTA OBRERO ESPAÑOL
UCE	712	0	UNIFICACION COMUNISTA DE ESPAÑA
PCE (M-L)	567	0	PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)
CUC	1223	0	CANDIDATURA DE UNIDAD COMUNISTA
LC (COSI)	448	0	LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.)
PADL	2493	0	PARTIDO ASTURIANO DEMOCRATA LIBERAL
FA	532	0	FALANGE ASTURIANA
