Siglas	Votos	Diputados	Candidatura
censo	308612	4	
participacion	204615		
abstencion	103997		
nulos	1443		
blancos	2132		
PP	97672	3	PARTIDO POPULAR
PSOE	43252	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PODEMOS-IU-EQUO	25441	0	UNIDOS PODEMOS
C's	31878	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	1359	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GRUPO VERDE	326	0	RECORTES CERO-GRUPO VERDE
UPyD	683	0	UNIÓN PROGRESO Y DEMOCRACIA
PCPE	196	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PREPAL	233	0	PARTIDO REGIONALISTA DEL PAÍS LEONÉS
