Siglas	Votos	Diputados	Candidatura
censo	421555	331859	
participacion	28724		
abstencion	392831		
nulos	336885		
blancos	8066		
PSOE	156786	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	150688	2	PARTIDO POPULAR
IU	7160	0	IZQUIERDA UNIDA
CENB	527	0	CIUDADANOS EN BLANCO
CDS	292	0	CENTRO DEMOCRATICO Y SOCIAL
IR	187	0	IZQUIERDA REPUBLICANA
PFyV	212	0	PARTIDO FAMILIA Y VIDA
DN	110	0	DEMOCRACIA NACIONAL
UPL	13406	0	UNION DEL PUEBLO LEONES
FE de las JONS	158	0	FALANGE ESPAÑOLA DE LAS JONS
FE	173	0	LA FALANGE
TC-PNC	108	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
MSR	65	0	MOVIMIENTO SOCIAL REPUBLICANO
PREPAL	232	0	SALAMANCA, ZAMORA, LEON PREPAL
