Siglas	Votos	Diputados	Candidatura
censo	174590	122614	
participacion	1641		
abstencion	172949		
nulos	123602		
blancos	484		
PSOE	53764	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP-PL	30289	1	COALICION POPULAR
CDS	15446	0	CENTRO DEMOCRATICO Y SOCIAL
IU	3978	0	COALICION IZQUIERDA UNIDA
MUC	1043	0	MESA PARA LA UNIDAD DE LOS COMUNISTAS
PRD	1914	0	PARTIDO REFORMISTA DEMOCRATICO
PST	486	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
PAR	11786	0	PARTIDO ARAGONES REGIONALISTA
PCC	105	0	PARTIT DELS COMUNISTES DE CATALUNYA
UCE	353	0	UNIFICACION COMUNISTA DE ESPAÑA
UPR	241	0	UNIDAD  POPULAR REPUBLICANA
POSI	380	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
