Siglas	Votos	Diputados	Candidatura
censo	434270	7	
participacion	326334		
abstencion	107936		
nulos	7901		
blancos	1446		
PSOE	130249	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
AP-PDP	78174	2	ALIANZA POPULAR - PARTIDO DEMOCRATA POPULAR
UCD	61436	1	UNION DE CENTRO DEMOCRATICO
CDS	12587	0	CENTRO DEMOCRATICO Y SOCIAL
FN	1315	0	ASOCIACION POLITICA FUERZA NUEVA
PST	3469	0	PARTIDO SOCIALISTA DE LOS TRABAJADORES
UPC	18772	0	UNION DEL PUEBLO CANARIO
UCE	85	0	UNIFICACION COMUNISTA DE ESPAÑA
PCE (M-L)	799	0	PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA)
AC-CC	6132	0	ASAMBLEA CANARIA - COORDINADORA CANARIA
LC (COSI)	632	0	LIGA COMUNISTA (C.OBREROS SOCIAL.INTERNACIONALIS.)
PNC	2206	0	PARTIDO NACIONALISTA CANARIO
ASDC	1131	0	ASOCIACION SOCIALDEMOCRATA CANARIA
