Siglas	Votos	Diputados	Candidatura
censo	293601	232465	
participacion	5179		
abstencion	288422		
nulos	236833		
blancos	1510		
PSOE	108715	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	110338	2	PARTIDO POPULAR
IU	9145	0	IZQUIERDA UNIDA
CENB	580	0	CIUDADANOS EN BLANCO
CDS	371	0	CENTRO DEMOCRATICO Y SOCIAL
IR	139	0	IZQUIERDA REPUBLICANA
PFyV	353	0	PARTIDO FAMILIA Y VIDA
DN	223	0	DEMOCRACIA NACIONAL
PCPE	212	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
FE	160	0	LA FALANGE
TC-PNC	155	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
MSR	49	0	MOVIMIENTO SOCIAL REPUBLICANO
PADE	116	0	PARTIDO DEMOCRATA ESPAÑOL
FA	95	0	FALANGE AUTENTICA
