Siglas	Votos	Diputados	Candidatura
censo	871728	8	
participacion	489354		
abstencion	382374		
nulos	3975		
blancos	5426		
PSOE	141078	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	103375	2	PARTIDO POPULAR
VOX	64515	1	VOX
PODEMOS-IU	74648	1	UNIDAS PODEMOS
Cs	28018	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
MÁS PAÍS-EQUO	8389	0	MÁS PAÍS-EQUO
CCa-PNC-NC	48028	1	COALICIÓN CANARIA-NUEVA CANARIAS
PACMA	5796	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	505	0	RECORTES CERO-GRUPO VERDE
PUM+J	552	0	POR UN MUNDO MÁS JUSTO
PCPE	728	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
VERDES	1864	0	LOS VERDES
PH	276	0	PARTIDO HUMANISTA
AHORA CANARIAS	1110	0	AHORA CANARIAS: Alternativa Nacionalista Canaria (ANC) y Unidad del Pueblo
CONTIGO	358	0	CONTIGO SOMOS DEMOCRACIA
PDSJE	713	0	PARTIDO DEMÓCRATA SOCIAL JUBILADOS EUROPEOS
