Siglas	Votos	Diputados	Candidatura
censo	519918	281820	
participacion	341844		
abstencion	178074		
nulos	3251		
blancos	57134		
PP	57134	1	PARTIDO POPULAR
PSOE	93553	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
VOX	19491	0	VOX
SUMAR	43922	0	SUMAR
EH Bildu	58954	1	EUSKAL HERRIA BILDU
U.P.N.	52188	1	UNION DEL PUEBLO NAVARRO
PACMA	1530	0	PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE
FO	679	0	FRENTE OBRERO
RECORTES CERO	252	0	RECORTES CERO
PUM+J	1002	0	POR UN MUNDO MÁS JUSTO
PCTE	311	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
GBAI	9938	0	GEROA BAI
