Siglas	Votos	Diputados	Candidatura
censo	173320	3	
participacion	110339		
abstencion	62981		
nulos	1010		
blancos	1446		
PP	52555	2	PARTIDO POPULAR
PSOE	26045	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PODEMOS-IU-EQUO	15403	0	UNIDOS PODEMOS
C's	12423	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	537	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GRUPO VERDE	174	0	RECORTES CERO-GRUPO VERDE
UPyD	256	0	UNIÓN PROGRESO Y DEMOCRACIA
PCPE	131	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
UPL	201	0	UNIÓN DEL PUEBLO LEONÉS
PREPAL	158	0	PARTIDO REGIONALISTA DEL PAÍS LEONÉS
