Siglas	Votos	Diputados	Candidatura
censo	1018314	834576	
participacion	9552		
abstencion	1008762		
nulos	841562		
blancos	3476		
PP	382321	5	PARTIDO POPULAR
PSOE	335149	5	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU	88772	1	IZQUIERDA UNIDA
ERC	1034	0	ESQUERRA REPUBLICANA DE CATALUNYA
UV	4292	0	UNIO VALENCIANA
LVE	6707	0	LOS VERDES EUROPEOS
UC	1239	0	UNION CENTRISTA
UPV-BN	5586	0	UNITAT DEL POBLE VALENCIA-BLOC NACIONALISTA
PRT	473	0	PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES
PCPE	1825	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PH	370	0	PARTIDO HUMANISTA
FEA	818	0	FALANGE ESPAÑOLA AUTENTICA
AR	324	0	ACCION REPUBLICANA
ENV	292	0	ESQUERRA NACIONALISTA VALENCIANA
UPRA	651	0	UNION PROVINCIAL ALICANTINA
