Siglas	Votos	Diputados	Candidatura
censo	688435	528496	
participacion	28952		
abstencion	659483		
nulos	533089		
blancos	9628		
P.S.O.E.	264974	4	PARTIDO SOCIALISTA OBRERO ESPAÑOL
P.P.	217874	3	PARTIDO POPULAR
I.U.	26615	0	IZQUIERDA UNIDA
UPyD	5308	0	UNION PROGRESO Y DEMOCRACIA
CA	4747	0	COALICION ANDALUCISTA
C's	450	0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
PACMA	748	0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
VERDES	2010	0	LOS VERDES
PUM+J	591	0	POR UN MUNDO MAS JUSTO
P.S.D.	484	0	PARTIDO SOCIAL DEMOCRATA
P.C.P.E.	238	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
CENB	274	0	CIUDADANOS EN BLANCO
FE de las JONS	205	0	FALANGE ESPAÑOLA DE LAS J.O.N.S.
D.N.	155	0	DEMOCRACIA NACIONAL
PFyV	217	0	FAMILIA Y VIDA
PH	133	0	PARTIDO HUMANISTA
AES	113	0	ALTERNATIVA ESPAÑOLA
E-2000	127	0	ESPAÑA 2000
F.A.	161	0	FALANGE AUTENTICA
SAIn	162	0	SOLIDARIDAD Y AUTOGESTION INTERNACIONALISTA
A.u.N.	73	0	ALIANZA NACIONAL
FRENTE	64	0	FRENTE ESPAÑOL
