Siglas	Votos	Diputados	Candidatura
censo	644426	394623	
participacion	7583		
abstencion	636843		
nulos	400559		
blancos	1617		
PP	214348	5	PARTIDO POPULAR
PSOE-PROGR.	116515	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS
IU	15928	0	IZQUIERDA UNIDA
ERC	1340	0	ESQUERRA REPUBLICANA DE CATALUNYA
VERDES	9556	0	LOS VERDES
UC-CDS	341	0	UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL
PSM-EN	23482	0	PSM ENTESA NACIONALISTA
FE	220	0	LA FALANGE
POSI	423	0	PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA
ES2000	221	0	PLATAFORMA ESPAÑA 2000
UM-INME	8372	0	C.ILLES BALEARS UNIO MALLORQUINA-INDEP. DE MENORCA
FEI-FE 2000	182	0	FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE 2000
EC	169	0	ESTAT CATALA
UPB	524	0	UNION DEL PUEBLO BALEAR
PRIB	334	0	PARTIDO RENOVADOR DE LAS ISLAS BALEARES
