Siglas	Votos	Diputados	Candidatura
censo	518838	6	
participacion	390379		
abstencion	128459		
nulos	2325		
blancos	4881		
PP	149442	2	PARTIDO POPULAR
PSOE	106988	2	PARTIDO SOCIALISTA OBRERO ESPAÑOL
C's	53199	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS	52587	1	PODEMOS
IU-UPeC	13590	0	UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN
PACMA	3039	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
UPYD	1901	0	UNIÓN PROGRESO Y DEMOCRACIA
VOX	1509	0	VOX
RECORTES CE	612	0	RECORTES CERO-GRUPO VERDE
PCPE	306	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
