Siglas	Votos	Diputados	Candidatura
censo	974491	7	
participacion	633601		
abstencion	340890		
nulos	6858		
blancos	6940		
PSOE	207586	3	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	112180	1	PARTIDO POPULAR
Cs	104688	1	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	107426	1	UNIDAS PODEMOS
VOX	72018	1	VOX
PACMA	6670	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	1133	0	RECORTES CERO-GRUPO VERDE
PACT	4554	0	ACTÚA
PUM+J	777	0	POR UN MUNDO MÁS JUSTO
PCTE	1359	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
PH	480	0	PARTIDO HUMANISTA
ANDECHA ASTUR	932	0	ANDECHA ASTUR
