Siglas	Votos	Diputados	Candidatura
censo	305536	4	
participacion	197673		
abstencion	107863		
nulos	1982		
blancos	2503		
PSOE	57481	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	67715	2	PARTIDO POPULAR
VOX	34929	1	VOX
PODEMOS-IU	13608	0	UNIDAS PODEMOS
Cs	16886	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PACMA	964	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	306	0	RECORTES CERO-GRUPO VERDE
PUM+J	266	0	POR UN MUNDO MÁS JUSTO
PCTE	196	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
UPL	286	0	UNIÓN DEL PUEBLO LEONÉS
CONTIGO	229	0	CONTIGO SOMOS DEMOCRACIA
PREPAL	322	0	PARTIDO REGIONALISTA DEL PAÍS LEONÉS
