Siglas	Votos	Diputados	Candidatura
censo	150711	122375	
participacion	2494		
abstencion	148217		
nulos	124060		
blancos	882		
PP	63245	2	PARTIDO POPULAR
PSOE	46740	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU	9784	0	IZQUIERDA UNIDA
UC	492	0	UNION CENTRISTA
PRT	71	0	PARTIDO REVOLUCIONARIO DE LOS TRABAJADORES
PCPE	143	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
PH	165	0	PARTIDO HUMANISTA
FEA	134	0	FALANGE ESPAÑOLA AUTENTICA
TC-PNC	321	0	TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO
URCL	515	0	UNIDAD REGIONALISTA DE CASTILLA Y LEON
