Siglas	Votos	Diputados	Candidatura
censo	304167	464644	
participacion	5289		
abstencion	298878		
nulos	426		
blancos	235089		
PP	127995	3	PARTIDO POPULAR
PSOE	69981	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
IU-LV	14324	0	IZQUIERDA UNIDA-LOS VERDES: LA IZQUIERDA PLURAL
UPyD	11614	0	UNIÓN PROGRESO Y DEMOCRACIA
EQUO	2077	0	EQUO
PACMA	921	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Eb	1153	0	ESCAÑOS EN BLANCO
PUM+J	597	0	POR UN MUNDO MÁS JUSTO
P.C.P.E.	386	0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
CYD	192	0	FORO CENTRO Y DEMOCRACIA
