Siglas	Votos	Diputados	Candidatura
censo	583745	6	
participacion	414600		
abstencion	169145		
nulos	2422		
blancos	2474		
PSOE	77720	1	PARTIDO SOCIALISTA OBRERO ESPAÑOL
PP	20797	0	PARTIDO POPULAR
Cs	11892	0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
PODEMOS-IU-EQUO	71296	1	UNIDAS PODEMOS
VOX	6783	0	VOX
EAJ-PNV	119668	2	EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO
EH Bildu	96364	2	EUSKAL HERRIA BILDU
PACMA	3171	0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
RECORTES CERO-GV	593	0	RECORTES CERO-GRUPO VERDE
PUM+J	429	0	POR UN MUNDO MÁS JUSTO
PCTE	313	0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
EB	678	0	ESCAÑOS EN BLANCO
